title,production,release_year,genre1,genre2,genre3,director1,director2,actor1,actor2,actor3,budget,production_country
The Ballad of Lefty Brown,  Higher Content ,2017, Action , Drama , Western, Jared Moshe,,Bill Pullman,  Peter Fonda,  Stephen Alan Seder,8,US
Disney's Newsies the Broadway Musical,  Fathom Events ,2017, Musical,,, Jeff Calhoun (I) , Brett Sullivan (II),Jeremy Jordan,  Kara Lindsay,  Ben Fankhauser,2,US
Batman and Harley Quinn,  DC Entertainment ,2017, Animation , Action , Adventure, Sam Liu (I),,Kevin Conroy,  Melissa Rauch,  Paget Brewster,3.5,US
Blair Witch,  Lionsgate ,2016, Horror , Thriller,, Adam Wingard,,James Allen McCune,  Callie Hernandez,  Corbin Reid,5,US
Film Stars Don't Die in Liverpool,  Eon Productions ,2017, Biography , Drama , Romance, Paul McGuigan (I),,Annette Bening,  Jamie Bell,  Kenneth Cranham,10,GB
20th Century Women,  A24 ,2016, Comedy , Drama,, Mike Mills (II),,Annette Bening,  Elle Fanning,  Greta Gerwig,7,US
Churchill,  Salon Pictures ,2017, Biography , Drama , History, Jonathan Teplitzky,,Brian Cox,  Miranda Richardson,  John Slattery,10,GB
Message from the King,  Backup Media ,2016, Thriller,,, Fabrice du Welz,,Chadwick Boseman,  Luke Evans,  Alfred Molina,10,FR
Denial,,2016, Biography , Drama,, Mick Jackson (I),,Rachel Weisz,  Tom Wilkinson,  Timothy Spall,10,
The Nile Hilton Incident,  Atmo Production ,2017, Crime , Drama , Thriller, Tarik Saleh,,Fares Fares,  Mari Malek,  Yasser Ali Maher,4.2,SE
The Bye Bye Man,  Huayi Brothers Media ,2017, Horror , Thriller,, Stacy Title,,Douglas Smith,  Lucien Laviscount,  Cressida Bonas,7.4,CN
Hostile,  Full Time Films ,2017, Drama , Horror,, Mathieu Turi,,Brittany Ashworth,  Grégory Fitoussi,  Javier Botet,1.2,FR
Batman: The Killing Joke,  Warner Bros. Animation ,2016, Animation , Action , Crime, Sam Liu (I),,Kevin Conroy,  Mark Hamill,  Tara Strong,3.5,US
The Hollars,  Sycamore Pictures ,2016, Comedy , Drama , Romance, John Krasinski,,Margo Martindale,  Sharlto Copley,  Richard Jenkins,3.8,US
Step Sisters,  Los Angeles Media Fund (LAMF) ,2018, Comedy,,, Charles Stone III,,Megalyn Echikunwoke,  Eden Sher,  Lyndon Smith,10,US
Woody Woodpecker,  Universal 1440 Entertainment ,2017, Animation , Comedy , Family, Alex Zamm,,Timothy Omundson,  Thaila Ayala,  Eric Bauza,10,US
Loving,  Raindog Films ,2016, Biography , Drama , Romance, Jeff Nichols (VI),,Ruth Negga,  Joel Edgerton,  Will Dalton,9,GB
Fifty Shades of Black,  IM Global ,2016, Comedy,,, Michael Tiddes,,Marlon Wayans,  Kali Hawk,  Fred Willard,5,US
The Monster,  Atlas Independent ,2016, Drama , Fantasy , Horror, Bryan Bertino,,Zoe Kazan,  Ella Ballentine,  Aaron Douglas,2.7,US
The Darkness,  Blumhouse Productions ,2016, Horror , Thriller,, Greg McLean,,Kevin Bacon,  Radha Mitchell,  David Mazouz,4,US
The Birth of a Nation,  BRON Studios ,2016, Biography , Drama , History, Nate Parker (I),,Nate Parker,  Armie Hammer,  Penelope Ann Miller,8.5,CA
iBoy,  Wigwam Films ,2017, Action , Crime , Sci-Fi, Adam Randall (II),,Bill Milner,  Maisie Williams,  Miranda Richardson,1.5,GB
Mr. Church,  Cinelou Films ,2016, Comedy , Drama,, Bruce Beresford,,Eddie Murphy,  Britt Robertson,  Natascha McElhone,8,US
Mountain Top,  Level Path Productions ,2017, Drama , Family , Mystery, Gary Wheeler (II),,Barry Corbin,  Coby Ryan McLaughlin,  Valerie Azlynn,0.75,US
Compulsion,  Atlantic Screen Productions ,2016, Drama , Fantasy , Horror, Craig Goodwill,,Analeigh Tipton,  Marta Gastini,  Jakob Cedergren,2,US
Victor Crowley,  ArieScope Pictures ,2017, Comedy , Horror,, Adam Green (VI),,Parry Shen,  Kane Hodder,  Laura Ortiz,7,US
When the Bough Breaks,  Screen Gems ,2016, Crime , Drama , Horror, Jon Cassar,,Morris Chestnut,  Regina Hall,  Romany Malco,10,US
Arsenal,  Emmett/Furla/Oasis Films (EFO Films) ,2017, Action , Crime , Thriller, Steven C. Miller,,Nicolas Cage,  John Cusack,  Adrian Grenier,10,US
The Case for Christ,  Triple Horse Studios ,2017, Biography , Drama , History, Jon Gunn,,Erika Christensen,  Faye Dunaway,  Frankie Faison,5,US
Realive,  Arcadia Motion Pictures ,2016, Drama , Sci-Fi,, Mateo Gil,,Tom Hughes,  Charlotte Le Bon,  Oona Chaplin,7,ES
Middle School: The Worst Years of My Life,  CBS Films ,2016, Animation , Comedy , Family, Steve Carr (III),,Griffin Gluck,  Lauren Graham,  Alexa Nisenson,8.5,US
The Trust,  Highland Film Group (HFG) ,2016, Crime , Drama , Thriller, Alex Brewer (VIII) , Benjamin Brewer,Nicolas Cage,  Elijah Wood,  Sky Ferreira,9,US
Love Blossoms,  Leif Films ,2017, Drama , Romance,, Jonathan Wright (I),,Shantel VanSanten,  Victor Webster,  Callum Blue,2.1,CA
Shut In,  EuropaCorp ,2016, Drama , Horror , Mystery, Farren Blackburn,,Naomi Watts,  Oliver Platt,  Charlie Heaton,10,FR
Kickboxer: Vengeance,  Headmon Entertainment & Productions ,2016, Action , Crime , Drama, John Stockwell (I),,Alain Moussi,  Georges St-Pierre,  T.J. Storm,10,US
The Assignment,  SBS Films ,2016, Action , Crime , Thriller, Walter Hill (I),,Michelle Rodriguez,  Tony Shalhoub,  Anthony LaPaglia,5,FR
Kiss and Cry,  Mythic Productions ,2017, Biography , Drama , Music, Sean Cisterna,,Sarah Fisher,  Luke Bilyk,  Chantal Kreviazuk,1.1,CA
The Perfect Match,  Codeblack Films ,2016, Comedy , Romance,, Bille Woodruff,,Terrence Jenkins,  Cassie Ventura,  Donald Faison,5,US
The Stolen,  Cork Films ,2017, Action , Adventure , Drama, Niall Johnson,,Alice Eve,  Graham McTavish,  Jack Davenport,4,GB
After Porn Ends 2,  WeBros Entertainment ,2017, Documentary,,, Bryce Wagoner,,Ashley Adams,  Brittany Andrews,  Lisa Ann,0.5,US
God's Not Dead 2,  Pure Flix Productions ,2016, Drama,,, Harold Cronk,,Maria Canals-Barrera,  Pat Boone,  Robin Givens,5,US
Blind,  Michael Mailer Films ,2017, Drama , Romance,, Michael Mailer,,Alec Baldwin,  Demi Moore,  Steven Prescod,10,US
The Duel,  Lionsgate Premiere ,2016, Drama , Western,, Kieran Darcy-Smith,,Woody Harrelson,  Liam Hemsworth,  Alice Braga,10,US
Mater,  Instituto Nacional de Cine y Artes Audiovisuales (INCAA) ,2017, Drama,,, Pablo D'Alo Abba,,Patricio Aranguren,  Marina Bellati,  Araceli Dvoskin,0.6,AR
Incarnate,  IM Global ,2016, Fantasy , Horror , Mystery, Brad Peyton,,Aaron Eckhart,  Carice van Houten,  Catalina Sandino Moreno,5,US
The Evil Within,  Supernova LLC ,2017, Horror,,, Andrew Getty,,Frederick Koehler,  Sean Patrick Flanery,  Brianna Brown,6,US
Wild Oats,  Wild Pictures ,2016, Action , Adventure , Comedy, Andy Tennant (I),,Shirley MacLaine,  Jessica Lange,  Demi Moore,10,US
Con Man,  Insomnia Media Group ,2018, Crime , Drama,, Bruce Caulk,,Armand Assante,  Carlos Ayala,  Justin Baldoni,9.5,US
One Small Indiscretion,  Vociferous Films ,2017, Thriller,,, Lauro David Chartrand-DelValle,,Ashley Scott,  Tiera Skovbye,  Cru Ennis,1,US
The Shadow Effect,  DV3 Productions ,2017, Action , Drama , Mystery, Obin Olson , Amariah Olson,Jonathan Rhys Meyers,  Cam Gigandet,  Michael Biehn,9,US
Spivak,  Echo Parked Productions ,2018, Comedy,,, Anthony Abrams , Adam Larson Broder,Michael Bacall,  Maggie Lawson,  Elden Henson,1,US
A Street Cat Named Bob,  Shooting Script Films ,2016, Biography , Comedy , Drama, Roger Spottiswoode,,Luke Treadaway,  Bob the Cat,  Ruta Gedmintas,8,GB
The Institute,  Jeff Rice Films ,2017, Thriller,,, James Franco , Pamela Romanowsky (I),Allie Gallerani,  James Franco,  Joe Pease,3,US
Flying Punjab,  Balaji Motion Pictures ,2016, Action , Crime , Drama, Abhishek Chaubey,,Shahid Kapoor,  Alia Bhatt,  Kareena Kapoor,5.9,IN
Gangster Land,  Status Media & Entertainment ,2017, Action , Crime , Drama, Timothy Woodward Jr.,,Sean Faris,  Milo Gibson,  Jason Patric,5,US
Sleight,  Diablo Entertainment (II) ,2016, Action , Drama , Sci-Fi, J.D. Dillard,,Jacob Latimore,  Seychelle Gabriel,  Storm Reid,0.25,US
An Ordinary Man,  Enderby Entertainment ,2017, Drama , Thriller , War, Brad Silberling,,Ben Kingsley,  Hera Hilmar,  Peter Serafinowicz,6,US
Everybody Loves Somebody,  Draco Films ,2017, Comedy , Romance,, Catalina Aguilar Mastretta,,Karla Souza,  José María Yazpik," "" Ben OToole""",2,MX
Fashionista,  AMP International ,2016, Drama , Fantasy , Thriller, Simon Rumley,,Amanda Fuller,  Ethan Embry,  Eric Balfour,1,GB
The Assassin's Code,  Serious Stooges Films ,2018, Thriller,,, David A. Armstrong,,Justin Chatwin,  Peter Stormare,  Mark Thompson,1.8,US
Blood Feast,  Gundo Entertainment ,2016, Horror,,, Marcel Walz,,Robert Rusler,  Caroline Williams,  Sophie Monk,1.2,US
I'm Not Ashamed,  Visible Pictures(II) ,2016, Biography , Drama,, Brian Baugh,,Masey McLain,  Ben Davies,  Cameron McKendry,1.5,US
Paris Can Wait,  Lifetime Films ,2016, Comedy , Drama , Romance, Eleanor Coppola,,Diane Lane,  Arnaud Viard,  Alec Baldwin,5,US
What the Health,,2017, Documentary,,, Kip Andersen , Keegan Kuhn,Kip Andersen,  Larry Baldwin,  Neal Barnard,0.273,
Woodshock,  COTA Films ,2017, Drama , Thriller,, Kate Mulleavy , Laura Mulleavy,Kirsten Dunst,  Joe Cole,  Pilou Asbæk,5,US
Don't Fuck in the Woods,  Concept Media ,2016, Horror,,, Shawn Burkett,,Brittany Blanton,  Ayse Howard,  Roman Jossart,0.01,US
Gehenna: Where Death Lives,,2016, Horror , Mystery , Thriller, Hiroshi Katagiri (I),,Doug Jones,  Lance Henriksen,  Patrick Gorman,0.24,
2307: Winter's Dream,  ULTRAMEDIA ,2016, Sci-Fi,,, Joey Curtis (I),,Paul Sidhu,  Branden Coles,  Arielle Holmes,0.75,US
Bombshell: The Hedy Lamarr Story,  Reframed Pictures ,2017, Documentary , Biography , History, Alexandra Dean (I),,Nino Amareno,  Charles Amirkhanian,  Jeanine Basinger,1.5,US
Heartthrob,  Citizen Skull Productions ,2017, Romance , Thriller,, Chris Sivertson,,Aubrey Peeples,  Keir Gilchrist,  Peter Facinelli,4,US
Supercon,  MOmentum Productions ,2018, Action , Comedy,, Zak Knutson,,Ryan Kwanten,  Maggie Grace,  Mike Epps,5.5,US
Altitude,  Switzer Entertainment Group ,2017, Action , Crime , Thriller, Alex Merkin (I),,Denise Richards,  Dolph Lundgren,  Jonathan Lipnicki,5,US
Phoenix Forgotten,  Cinelou Films ,2017, Horror , Mystery , Sci-Fi, Justin Barber (I),,Florence Hartigan,  Luke Spencer Roberts,  Chelsea Lopez,2.8,US
Tramps,  Animal Kingdom ,2016, Comedy , Romance,, Adam Leon (I),,Callum Turner,  Grace Van Patten,  Michal Vondel,2,US
Hichki,  Yash Raj Films ,2018, Comedy , Drama,, Siddharth Malhotra (III),,Rani Mukerji,  Neeraj Kabi,  Rohit Saraf,2,IN
The Age of Shadows,  Grimm Pictures ,2016, Action , Drama , Thriller, Jee-woon Kim,,Byung-Hun Lee,  Kang-ho Song,  Yoo Gong,8.6,KR
Airlift,  Cape of Good Films ,2016, Adventure , Drama , History, Raja Menon,,Akshay Kumar,  Nimrat Kaur,  Kumud Mishra,4.4,IN
My Name Is Lenny,  Salon Pictures ,2017, Biography , Drama , Sport, Ron Scalpello,,Josh Helman,  Michael Bisping,  Chanel Cresswell,10,GB
We Are the Flesh,  Piano ,2016, Drama , Fantasy , Horror, Emiliano Rocha Minter,,Noé Hernández,  María Evoli,  Diego Gamaliel,0.4,MX
Time Trap,  Pad Thai Pictures ,2017, Action , Adventure , Sci-Fi, Mark Dennis (VII) , Ben Foster (XII),Andrew Wilson,  Cassidy Gifford,  Brianne Howey,3,US
Don't Kill It,  Archstone Pictures ,2016, Action , Comedy , Fantasy, Mike Mendez (I),,Dolph Lundgren,  Kristina Klebe,  Tony Bentley,3.5,US
Let There Be Light,  LTBL Productions ,2017, Drama,,, Kevin Sorbo,,Kevin Sorbo,  Sam Sorbo,  Daniel Roebuck,3,GB
The Big Bad Fox and Other Tales...,  Folivari ,2017, Animation , Adventure , Comedy, Patrick Imbert (I) , Benjamin Renner,Kamel Abdessadok,  Jules Bienvenu,  Guillaume Bouchède,3,FR
Lowriders,  Blumhouse Productions ,2016, Adventure , Crime , Drama, Ricardo de Montreuil (I),,Gabriel Chavarria,  Demián Bichir,  Theo Rossi,5,US
Kevin Hart: What Now?,  Hartbeat Productions ,2016, Documentary , Comedy,, Leslie Small (I) , Tim Story (I),Kevin Hart,  Halle Berry,  Don Cheadle,9.9,US
Battle Drone,  Film Tiger ,2018, Action , Sci-Fi,, Mitch Gould,,Dominique Swain,  Natassia Malthe,  Michael Paré,3.5,CA
Papa,,2018, Drama,,, Dan Israely,,Lars Doppler,  Nils Dörgeloh,  Maxi Geithner,2.5,
The Veil,  Blumhouse Productions ,2016, Horror , Thriller,, Phil Joanou,,Jessica Alba,  Lily Rabe,  Thomas Jane,4,US
Graduation,  Canal+ ,2016, Crime , Drama,, Cristian Mungiu,,Adrian Titieni,  Maria Dragus,  Lia Bugnar,2,FR
Check Point,  Chasing Butterflies ,2017, Action , Thriller , War, Thomas J. Churchill,,Tyler Mane,  Kenny Johnson,  Mindy Robinson,2.5,US
Deuces,  Flavor Unit Entertainment ,2016, Action , Crime , Drama, Jamal Hill,,Larenz Tate,  Meagan Good,  Rotimi,3,US
